Item,UNITED STATES,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
Total revenue,"2,039,926,569","27,058,029","12,381,555","33,362,229","19,876,100","281,667,095","27,395,534","26,851,795","7,968,952","90,757,028","44,888,723","11,609,211","8,859,444","73,558,697","35,574,061","21,078,589","16,538,168","27,772,056","32,176,876","9,290,505","37,408,265","51,013,137","66,107,007","39,908,374","20,978,857","33,914,202","7,476,954","10,221,332","14,053,177","7,974,888","66,531,221","17,452,867","195,725,953","57,465,106","6,118,449","88,677,168","23,820,301","28,889,040","83,282,944","8,547,053","28,797,998","4,584,347","29,719,569","120,506,772","16,167,203","6,001,197","46,356,567","44,306,798","13,712,959","48,088,136","7,454,081"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  General revenue,"1,567,206,839","23,224,028","11,042,685","26,844,746","16,501,745","198,949,318","19,336,002","21,984,757","7,226,871","70,445,079","36,490,385","9,471,490","6,726,503","55,958,090","29,800,645","17,029,279","14,215,169","22,862,247","27,441,703","7,999,184","31,198,574","42,894,396","52,670,317","31,483,682","17,427,549","26,110,249","6,008,627","8,834,529","9,937,131","6,368,804","51,182,545","13,892,204","140,231,726","44,055,374","5,415,249","57,818,101","19,614,684","19,186,283","63,880,033","6,756,383","21,442,119","3,991,107","25,517,396","100,040,740","13,372,821","5,330,512","37,103,065","33,710,587","11,709,919","30,845,174","5,627,033"
    Intergovernmental revenue,"575,371,668","9,369,725","2,961,501","12,577,215","5,978,147","67,805,353","5,817,995","6,229,831","2,035,019","25,447,682","16,204,128","2,592,047","2,672,926","19,345,760","10,400,713","6,659,209","4,624,104","9,149,028","13,255,001","3,215,209","10,534,111","13,971,623","19,527,609","10,042,829","8,834,096","11,798,319","2,504,673","3,202,752","2,917,112","2,360,687","15,476,911","6,247,462","55,746,773","15,698,831","1,741,931","22,461,873","8,133,133","6,857,718","21,338,641","2,563,932","7,933,502","1,794,047","11,371,391","41,450,202","4,373,886","1,904,907","9,779,654","11,176,371","4,426,116","10,403,378","2,456,605"
    Taxes,"705,929,253","8,419,911","4,522,927","10,719,958","7,559,898","107,195,465","8,575,262","12,344,106","2,763,032","30,484,883","14,782,779","4,837,862","2,951,703","27,795,759","13,795,221","6,809,344","6,492,996","9,531,404","8,758,633","3,489,953","15,237,748","20,090,563","22,208,870","17,208,877","6,268,823","9,707,053","2,142,809","3,864,897","5,835,963","2,271,936","25,927,891","4,295,237","63,807,610","21,514,930","2,645,695","23,583,596","7,082,161","7,475,135","30,169,122","2,568,759","7,242,724","1,321,228","10,513,788","39,516,186","5,237,427","2,511,387","16,411,055","16,106,154","4,803,704","14,368,569","2,158,260"
      General sales,"224,314,387","2,097,434", -   ,"4,939,718","2,615,290","33,552,099","2,039,414","3,145,579", -   ,"17,535,295","4,864,691","2,316,434","1,126,671","6,859,971","5,941,044","2,121,842","2,150,270","2,794,057","2,579,946","989,645","3,753,778","4,625,682","9,012,729","4,426,608","2,849,099","2,919,117", -   ,"1,442,951","2,559,489", -   ,"7,898,165","1,685,302","10,568,466","5,856,993","603,740","7,253,496","1,968,309", -   ,"8,029,797","798,481","2,724,641","742,363","6,130,877","19,804,177","1,638,906","311,140","3,543,210","9,607,285","1,156,513","3,944,260","789,413"
      Selective sales,"120,207,849","2,348,046","263,005","1,777,508","1,089,344","7,381,087","1,465,335","2,223,116","462,914","7,704,172","1,651,375","727,946","382,936","6,072,665","2,549,406","1,063,729","812,404","1,890,689","2,262,851","677,269","2,503,903","2,188,170","3,422,442","3,456,295","1,225,508","1,609,482","532,013","510,581","1,715,505","899,397","3,409,287","619,261","10,536,018","3,576,598","345,038","4,991,852","1,007,356","999,939","7,435,101","606,500","1,245,802","338,914","1,896,919","11,403,861","768,781","534,196","2,328,442","3,241,734","1,184,510","2,742,579","126,068"
      License taxes,"50,429,351","492,844","142,849","369,150","333,841","8,123,248","549,003","425,359","1,250,726","2,124,726","467,750","145,952","268,003","2,408,528","704,694","700,707","304,342","434,765","426,651","248,270","754,089","859,728","1,360,502","1,055,697","408,756","594,456","308,933","226,944","572,427","312,188","1,388,521","194,590","1,541,769","1,533,688","166,119","3,243,554","886,872","1,030,086","2,546,905","93,364","409,053","200,066","1,167,316","6,451,744","389,896","106,558","655,193","933,241","143,456","833,180","139,052"
      Individual income tax,"236,986,784","2,616,000", -   ,"2,416,324","2,091,082","45,646,436","4,089,948","5,768,846","853,107", -   ,"7,016,412","1,527,790","1,068,754","9,433,245","3,868,093","2,650,037","2,687,542","3,154,488","2,286,500","1,303,370","6,200,292","10,128,035","5,531,349","6,458,111","1,352,481","4,326,507","714,814","1,514,831", -   ,"82,365","10,322,943","956,600","34,751,382","9,133,689","303,764","7,886,802","2,224,783","4,945,538","9,352,287","909,674","2,673,000", -   ,"172,459", -   ,"2,104,641","489,107","8,659,470", -   ,"1,521,895","5,791,991", -   
      Corporate income tax,"38,006,105","428,245","643,068","413,193","385,365","9,114,589","360,003","507,752","142,417","1,793,180","684,701","79,853","98,327","2,686,686","597,347","192,138","352,419","383,815","393,036","175,292","891,392","1,834,859","631,895","721,742","316,331","206,936","93,225","154,332", -   ,"499,669","2,047,474","125,100","3,895,349","1,294,314","88,347","142,318","216,400","353,589","1,648,956","121,668","148,500","31,157","901,617", -   ,"245,980","85,178","789,655", -   ,"237,159","851,537", -   
      Other taxes,"35,984,777","437,342","3,474,005","804,065","1,044,976","3,378,006","71,559","273,454","53,868","1,327,510","97,850","39,887","7,012","334,664","134,637","80,891","186,019","873,590","809,649","96,107","1,134,294","454,089","2,249,953","1,090,424","116,648","50,555","493,824","15,258","988,542","478,317","861,501","714,384","2,514,626","119,648","1,138,687","65,574","778,441","145,983","1,156,076","39,072","41,728","8,728","244,600","1,856,404","89,223","985,208","435,085","2,323,894","560,171","205,022","1,103,727"
