States,Year,Total revenue,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,Current charges,Miscellaneous general revenue,Utility revenue,Liquor stores revenue,Insurance trust revenue ,Total expenditure, Intergovernmental expenditure, Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,Total expenditure,General expenditure,Intergovernmental expenditure,Direct expenditure,Education,Public welfare,Hospitals,Health,Highways,Police protection,Correction,Natural resources,Parks and recreation,Governmental administration,Interest on general debt,Other and unallocable,Utility expenditure,Liquor stores expenditure, Insurance trust expenditure,Debt at end of fiscal year,Cash and security holdings
UNITED STATES,2009,1133446448,1493989614,494782446,713474529,226781684,115822472,49145634,245880786,39277558,36566395,162306197,123426442,16471341,6376562,-383391069,1832596801,490887391,1341709410,901310643,116989763,241080311,35005215,47323478,237830501,1832596801,1560046263,490887391,1069158872,567674062,438744629,58041020,62553777,107286437,13676971,50382439,22605445,6113388,54013236,45281069,133673790,26295576,5174651,241080311,1048655489,3082511650
ALABAMA,2009,20036326,21103234,7727088,8306446,2069535,2133748,478927,2662759,493972,467505,3674221,1395479, -   ,252052,-1318960,26422265,6535634,19886631,13906375,2319427,2846717,473380,340732,4424475,26422265,23335185,6535634,16799551,10562134,5452015,1781709,586529,1630041,188250,541049,296527,38642,585530,340732,1332027, -   ,240363,2846717,8155943,33894271
ALASKA,2009,9641320,11531688,2391445,4955884, -   ,250267,132504, -   ,632123,3940990,550563,3633796,17890, -   ,-1908258,10991829,1616689,9375140,6672521,1245331,960536,186426,310326,1600451,10991829,9896330,1616689,8279641,2200202,1582972,35668,321686,1338876,88285,259889,308909,25276,591173,303210,2840184,134963, -   ,960536,6589698,57260898
ARIZONA,2009,23232885,25547876,10402074,11134403,4878883,1831662,400987,2575753,592187,854931,1899187,2112212,29810, -   ,-2344801,31516818,9618970,21897848,15450621,1700592,3665790,572839,508006,3286804,31516818,27819006,9618970,18200036,8859323,8770335,62173,1728249,2309492,268685,1135021,273817,124043,713057,505602,3069209,32022, -   ,3665790,12324879,39049289
ARKANSAS,2009,12479447,15210774,4949582,7467679,2765996,984947,328393,2238958,346215,803170,2022204,771309, -   , -   ,-2731327,16164504,4698889,11465615,8500184,919939,1611403,273041,161048,1529945,16164504,14553101,4698889,9854212,6524569,3831405,837945,208984,912721,64360,305250,231121,42228,504156,161048,929314, -   , -   ,1611403,4135051,20794236
CALIFORNIA,2009,113241403,186207795,60516817,101007459,28972302,7409041,8371914,44355959,9535679,2362564,14109115,10574404,4652318, -   ,-77618710,253944548,94909240,159035308,103604985,8965869,38188113,2055490,6220851,28307687,253944548,211083320,94909240,116174080,73248498,63579401,7276117,10932467,10731047,1683827,9110775,4590592,416813,8461946,5839851,15211986,4673115, -   ,38188113,134764874,431467386
COLORADO,2009,9891984,18857772,5132144,8682822,2123671,1175579,365544,4403446,329545,285037,2982445,2060361, -   , -   ,-8965788,24443854,6403127,18040727,11527879,1392365,4045583,269232,805668,3830753,24443854,20374991,6403127,13971864,8634021,4335405,514114,1063230,1224706,130808,1084368,463570,87143,923497,784332,1129797,23280, -   ,4045583,17202374,56306914
CONNECTICUT,2009,17982442,21079172,5518398,12160036,3290050,2135883,363502,5609270,444061,317270,2003752,1396986,29272, -   ,-3126002,25648727,4316376,21332351,14290387,1332174,3794294,482596,1432900,4459197,25648727,21341539,4316376,17025163,6083150,6094081,1455247,972080,950797,209541,735438,126134,45225,1148444,1432900,2088502,512894, -   ,3794294,28394151,35904082
DELAWARE,2009,5780559,6693422,1575270,2799103, -   ,474278,1147987,910693,208677,57468,1057575,1261474,13313, -   ,-926176,7360953,1205247,6155706,4413011,678810,591868,187962,284055,2278043,7360953,6634392,1205247,5429145,2302154,1515666,59063,393254,529442,106079,272763,88653,45959,446087,284055,591217,134693, -   ,591868,5984645,12402126
FLORIDA,2009,45718315,66733795,21083791,32053099,19228000,7749862,1823237, -   ,1836800,1415200,8575764,5021141,17544, -   ,-21033024,75653366,17677928,57975438,39834060,6075135,8552118,2007346,1506779,8748834,75653366,66993514,17677928,49315586,22131046,18569342,892655,3651980,6387750,424007,2670803,1588917,174656,2281797,1506779,6713782,107734, -   ,8552118,39813877,147005681
