States,Year,Total revenue,General revenue,Intergovernmental revenue,Taxes,General sales,Selective sales,License taxes,Individual income tax,Corporate income tax,Other taxes,Current charges,Miscellaneous general revenue,Utility revenue,Liquor stores revenue,Insurance trust revenue ,Total expenditure,Intergovernmental expenditure,Direct expenditure,Current operation,Capital outlay,Insurance benefits and repayments,Assistance and subsidies,Interest on debt,Exhibit: Salaries and wages,Total expenditure,General expenditure,Intergovernmental expenditure,Direct expenditure,Education,Public welfare,Hospitals,Health,Highways, Police protection,Correction,Natural resources,Parks and recreation,Governmental administration,Interest on general debt,Other and unallocable,Utility expenditure,Liquor stores expenditure,Insurance trust expenditure,Debt at end of fiscal year,Cash and security holdings
UNITED STATES,2010,2039926569,1567206839,575371668,705929253,224314387,120207849,50429351,236986784,38006105,35984777,169854534,116051384,15121578,6494993,451103159,1943522632,485557187,1457965445,934321563,118010630,320720833,37561512,47350907,244952277,1943522632,1593693957,485557187,1108136770,571147157,462430908,64509024,58245015,111169808,13828055,48549551,21514767,5719946,53975901,45259591,137344234,23864159,5243683,320720833,1115462639,3323047498
ALABAMA,2010,27058029,23224028,9369725,8419911,2097434,2348046,492844,2616000,428245,437342,4105973,1328419, -   ,252034,3581967,27699687,6604013,21095674,14664600,2074629,3441537,542260,372648,4444987,27699687,24016434,6604013,17412421,10555436,6032533,2043064,608732,1514572,188062,551544,328307,43674,589904,372648,1187958, -   ,241716,3441537,8785245,34217563
ALASKA,2010,12381555,11042685,2961501,4522927, -   ,263005,142849, -   ,643068,3474005,557786,3000471,18709, -   ,1320161,11011201,1655467,9355734,6460100,1243983,1168945,178542,304164,1700062,11011201,9734692,1655467,8079225,2303781,1799863,55371,300110,1447216,98362,270536,420565,21411,614006,297771,2105700,107564, -   ,1168945,6416861,60118873
ARIZONA,2010,33362229,26844746,12577215,10719958,4939718,1777508,369150,2416324,413193,804065,2091011,1456562,29511, -   ,6487972,33015591,9179514,23836077,16019332,1628186,5001254,589282,598023,3180343,33015591,27982432,9179514,18802918,8806846,9211757,61538,1934704,2117105,239436,1061067,273975,83401,691953,595853,2904797,31905, -   ,5001254,13960248,41842910
ARKANSAS,2010,19876100,16501745,5978147,7559898,2615290,1089344,333841,2091082,385365,1044976,2146394,817306, -   , -   ,3374355,18008650,5057598,12951052,9457322,820631,2207414,317052,148633,1906141,18008650,15801236,5057598,10743638,6985983,4290502,809121,254002,932154,81323,369684,273849,63809,566835,148633,1025341, -   , -   ,2207414,4246826,23179987
CALIFORNIA,2010,281667095,198949318,67805353,107195465,33552099,7381087,8123248,45646436,9114589,3378006,15430042,8518458,4052664, -   ,78665113,257236917,90530131,166706786,104408397,9671465,42896074,3018863,6711987,30443984,257236917,210491325,90530131,119961194,70303293,63848655,11010832,7289427,13326933,1623171,7956461,4146716,433010,8330503,6338987,15883337,3849518, -   ,42896074,148929107,480185680
COLORADO,2010,27395534,19336002,5817995,8575262,2039414,1465335,549003,4089948,360003,71559,2951570,1991175, -   , -   ,8059532,26996775,6513704,20483071,11977651,1557328,5815759,293792,838541,3899829,26996775,21153440,6513704,14639736,9090749,4414802,574482,1201514,1380546,131730,985100,329406,101514,849787,817309,1276501,27576, -   ,5815759,16709540,58788204
CONNECTICUT,2010,26851795,21984757,6229831,12344106,3145579,2223116,425359,5768846,507752,273454,2010227,1400593,29146, -   ,4837892,27456676,4846870,22609806,13910437,1369979,5358550,510668,1460172,4209442,27456676,21571811,4846870,16724941,6593494,6029549,1438938,901328,1084512,208817,682065,151634,28981,1101512,1460172,1890809,526315, -   ,5358550,30364883,39250696
DELAWARE,2010,7968952,7226871,2035019,2763032, -   ,462914,1250726,853107,142417,53868,1142706,1286114,15336, -   ,726745,7826826,1235608,6591218,4644340,664509,784349,209723,288297,2266215,7826826,6917204,1235608,5681596,2432264,1656504,55963,396381,521987,105368,261950,80377,43363,445895,288297,628855,125273, -   ,784349,5515150,12829017
FLORIDA,2010,90757028,70445079,25447682,30484883,17535295,7704172,2124726, -   ,1793180,1327510,8586804,5925710,20749, -   ,20291200,81831697,18478449,63353248,41770772,5217181,13048685,1939348,1377262,8809669,81831697,68685083,18478449,50206634,23043590,20880282,881388,3686342,5565691,441041,2504397,1264096,143657,2707530,1377262,6189807,97929, -   ,13048685,41324398,164698269
